SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,DebtToIncome,LogMonthlyIncome,LogRevolvingUtil,TotalOverdueTimes,HasOverdue,AgeGroup,DebtPerAccount
1,0.766126609,45,2,0.802982129,9120.0,13,0,6,0,2.0,0.802894092367065,9.118334726180159,0.5687887921374633,2,1,2,0.057355866357142855
0,0.957151019,40,0,0.121876201,2600.0,4,0,0,0,1.0,0.12182934356016915,7.8636512654486515,0.6714898540620411,0,0,1,0.024375240200000002
0,0.65818014,38,1,0.085113375,3042.0,2,1,0,0,0.0,0.08508540478146566,8.02059914989697,0.5057206997858992,2,1,1,0.028371125
0,0.233809776,30,0,0.036049682,3300.0,5,0,0,0,0.0,0.036038761163283854,8.101980731853192,0.21010676125042033,0,0,0,0.0060082803333333335
0,0.9072394,49,1,0.024925695,63588.0,7,0,1,0,0.0,0.024925303018761107,11.060195778394762,0.6456568562325555,1,1,2,0.003115711875
0,0.213178682,74,0,0.375606969,3500.0,3,0,1,0,1.0,0.37549968337617823,8.160803920954665,0.19324392496672763,0,0,4,0.09390174225
0,0.305682465,57,0,5710.0,5400.0,8,0,3,0,0.0,5708.942788372524,8.594339400592892,0.26672586576367413,0,0,3,634.4444444444445
0,0.754463648,39,0,0.209940017,3500.0,8,0,0,0,0.0,0.2098800512710654,8.160803920954665,0.5621631965332393,0,0,1,0.023326668555555555
0,0.116950644,27,0,46.0,5400.0,2,0,0,0,0.0,45.991483058692836,8.594339400592892,0.11060233289775347,0,0,0,15.333333333333334
0,0.189169052,57,0,0.606290901,23684.0,9,0,4,0,2.0,0.6062653029041165,10.072597215357852,0.17325478758520807,0,0,3,0.060629090100000005
0,0.644225962,30,0,0.30947621,2500.0,5,0,0,0,0.0,0.30935246901239505,7.824445930877619,0.49726973366110677,0,0,0,0.05157936833333333
0,0.01879812,51,0,0.53152876,6501.0,7,0,2,0,2.0,0.5314470114980007,8.779865100863852,0.018623618813256575,0,0,3,0.066441095
0,0.010351857,46,0,0.298354075,12454.0,13,0,2,0,2.0,0.2983301204375753,9.429877427696281,0.010298643452617757,0,0,2,0.021311005357142858
1,0.964672555,40,3,0.382964747,13700.0,9,3,1,1,2.0,0.38293679540909425,9.525224101853109,0.6753255927586129,7,1,1,0.0382964747
0,0.019656581,76,0,477.0,0.0,6,0,1,0,0.0,0.0,0.0,0.019465885310843336,0,0,4,68.14285714285714
